WKT,Tree ID,Date,Locality,Collector,Species,Lat,Lon,ele
"POINT (-80.272713 25.681211)",F01,2/25/24,Hammock Park,Quinteros.Zexuan,Benghalensis,25.681211,-80.272713,17.056505
"POINT (-80.272488 25.68108)",F02,2/25/24,Hammock Park,Quinteros.Zexuan,Aurea,25.68108,-80.272488,15.507609
"POINT (-80.272472 25.680887)",F03,2/25/24,Hammock Park,Quinteros.Zexuan,Benghalensis?,25.680887,-80.272472,15.90883
"POINT (-80.272456 25.680443)",F04,2/25/24,Hammock Park,Quinteros.Zexuan,Benghalensis,25.680443,-80.272456,14.042691
"POINT (-80.272881 25.679813)",F05,2/25/24,Hammock Park,Quinteros.Zexuan,UNK,25.679813,-80.272881,13.333558
"POINT (-80.273163 25.679347)",F06,2/25/24,Hammock Park,Quinteros.Zexuan,Aurea?,25.679347,-80.273163,15.675562
"POINT (-80.27336 25.679038)",F07,2/25/24,Hammock Park,Quinteros.Zexuan,Citrifolia,25.679038,-80.27336,9.652344
"POINT (-80.27336 25.679038)",F08,2/25/24,Hammock Park,Quinteros.Zexuan,UNK,25.679038,-80.27336,9.652344
"POINT (-80.27336 25.679038)",F09,2/25/24,Hammock Park,Quinteros.Zexuan,Microcarpa,25.679038,-80.27336,9.652344
"POINT (-80.272969 25.681069)",F10,2/25/24,Hammock Park,Quinteros.Zexuan,UNK,25.681069,-80.272969,21.572559
"POINT (-80.27331 25.68058)",F11,2/25/24,Hammock Park,Quinteros.Zexuan,Aurea,25.68058,-80.27331,23.541336
"POINT (-80.273003 25.680748)",F12,2/25/24,Hammock Park (West),Quinteros.Zexuan,Citrifolia,25.680748,-80.273003,13.910156
"POINT (-80.275903 25.680539)",F13,2/25/24,Hammock Park (West),Quinteros.Zexuan,UNK,25.680539,-80.275903,23.382713
"POINT (-80.276345 25.681139)",F14,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.681139,-80.276345,24.157162
"POINT (-80.279022 25.681587)",F15,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.681587,-80.279022,25.164875
"POINT (-80.279257 25.682377)",F16,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.682377,-80.279257,25.146214
"POINT (-80.279095 25.683613)",F17,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.683613,-80.279095,28.533255
"POINT (-80.27756 25.685101)",F18,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea?,25.685101,-80.27756,30.035498
"POINT (-80.27749 25.68476)",F19,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea?,25.68476,-80.27749,31.239157
"POINT (-80.278428 25.684887)",F20,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.684887,-80.278428,30.931244
"POINT (-80.274969 25.68208)",F21,2/25/24,Hammock Park (West),Quinteros.Zexuan,UNK,25.68208,-80.274969,37.602688
"POINT (-80.27304 25.682235)",F22,2/25/24,Hammock Park (West),Quinteros.Zexuan,Aurea,25.682235,-80.27304,38.059891
"POINT (-80.287965 25.644577)",F23,2/25/24,Chapman Field Park,Quinteros.Zexuan,Aurea,25.644577,-80.287965,34.327614
"POINT (-80.285625 25.644307)",F24,2/25/24,Chapman Field Park,Quinteros.Zexuan,Aurea,25.644307,-80.285625,34.859463
"POINT (-80.283439 25.64379)",F25,2/25/24,Chapman Field Park,Quinteros.Zexuan,Aurea,25.64379,-80.283439,33.973049
"POINT (-80.281175 25.642571)",F26,2/25/24,Chapman Field Park,Quinteros.Zexuan,Citrifolia,25.642571,-80.281175,33.86108
